iter	Passed	Remaining
192	377	1578
193	380	1579
194	381	1573
195	382	1570
196	384	1568
197	385	1563
198	389	1567
199	390	1562
200	395	1571
201	400	1582
202	401	1577
203	402	1571
204	404	1567
205	405	1561
206	406	1556
207	407	1551
208	408	1546
209	409	1541
210	410	1536
211	411	1530
212	412	1523
213	413	1517
214	414	1512
215	415	1506
216	416	1501
217	417	1496
218	418	1490
219	418	1485
220	419	1479
221	420	1473
222	421	1469
223	422	1463
224	423	1457
225	424	1452
226	424	1446
227	425	1441
228	426	1436
229	427	1431
230	428	1425
231	429	1420
232	429	1415
233	430	1409
234	431	1405
235	432	1400
236	433	1395
237	434	1390
238	435	1385
239	435	1380
240	436	1375
241	437	1370
242	438	1365
243	439	1360
244	440	1356
245	441	1351
246	441	1346
247	442	1341
248	443	1337
249	444	1333
250	445	1328
251	446	1324
252	447	1320
253	448	1315
254	448	1311
255	449	1307
256	450	1302
257	451	1298
258	452	1294
259	453	1290
260	454	1286
261	455	1282
262	456	1278
263	456	1273
264	457	1269
265	458	1265
266	459	1260
267	460	1256
268	461	1253
269	462	1250
270	463	1245
271	463	1241
272	464	1237
273	465	1234
274	466	1231
275	467	1227
276	468	1223
277	469	1219
278	470	1215
279	471	1211
280	472	1208
281	472	1204
282	473	1200
283	474	1196
284	475	1192
285	476	1189
286	477	1186
287	478	1182
288	479	1178
289	479	1175
290	480	1171
291	481	1167
292	482	1163
293	483	1160
294	484	1157
295	485	1153
296	485	1149
297	486	1146
298	487	1142
299	488	1139
300	489	1135
301	489	1132
302	490	1128
303	491	1125
304	492	1122
305	493	1118
306	493	1115
307	494	1111
308	495	1108
309	496	1105
310	497	1102
311	498	1099
312	499	1096
313	500	1093
314	501	1090
315	502	1086
316	502	1083
317	503	1080
318	504	1077
319	505	1074
320	506	1071
321	507	1068
322	508	1064
323	508	1061
324	509	1058
325	510	1055
326	511	1052
327	512	1049
328	513	1046
329	514	1043
330	514	1040
331	515	1037
332	516	1034
333	517	1031
334	518	1028
335	518	1025
336	519	1022
337	520	1019
338	521	1016
339	522	1013
340	522	1010
341	523	1007
342	524	1004
343	525	1001
344	526	998
345	527	996
346	528	993
347	528	990
348	529	988
349	530	985
350	531	982
351	532	980
352	533	977
353	534	974
354	535	972
355	535	969
356	536	966
357	537	963
358	538	961
359	539	958
360	540	956
361	541	953
362	542	951
363	543	948
364	544	946
365	545	944
366	546	942
367	547	939
368	548	937
369	548	934
370	550	932
371	551	930
372	552	928
373	553	925
374	554	923
375	555	921
376	555	918
377	557	916
378	557	914
379	558	911
380	559	909
381	560	907
382	562	905
383	563	903
384	564	900
385	564	898
386	565	895
387	566	893
388	567	891
389	568	889
390	569	886
391	570	884
392	570	881
393	571	879
394	572	876
395	573	875
396	574	872
397	575	870
398	576	867
399	577	865
400	577	862
401	578	861
402	579	858
403	580	856
404	581	854
405	582	851
406	583	849
407	584	848
408	585	845
409	586	843
410	587	841
411	588	839
412	589	837
413	590	835
414	591	833
415	592	831
416	593	829
417	593	826
418	594	824
419	595	822
420	596	820
421	597	818
422	598	815
423	598	813
424	599	811
425	600	809
426	601	806
427	602	804
428	602	802
429	603	800
430	604	798
431	605	796
432	606	794
433	607	792
434	608	790
435	609	788
436	610	785
437	610	783
438	611	781
439	612	779
440	613	777
441	614	776
442	615	773
443	616	772
444	617	770
445	618	768
446	619	766
447	620	764
448	621	762
449	621	760
450	622	758
451	624	756
452	624	754
453	625	752
454	626	750
455	627	748
456	627	746
457	628	744
458	629	742
459	631	740
460	632	739
461	633	737
462	634	735
463	635	733
464	636	731
465	637	730
466	638	728
467	639	726
468	639	724
469	641	722
470	641	720
471	642	719
472	644	717
473	645	715
