,Logistic Regression Base,Logistic Regression Tuned,Pycaret Logistic Regression Tuned,Light Gradient Boosting Machine Tuned,Catboost Classifier Tuned
hyperparameters,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}","{'C': 0.31489116479568624, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 0.7322619478695936, 'l1_ratio': 0.5990598257128396, 'max_iter': 1000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}","{'C': 0.196, 'class_weight': {}, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}","{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.5, 'max_depth': -1, 'min_child_samples': 41, 'min_child_weight': 0.001, 'min_split_gain': 0.5, 'n_estimators': 250, 'n_jobs': -1, 'num_leaves': 100, 'objective': None, 'random_state': 42, 'reg_alpha': 0.005, 'reg_lambda': 0.0005, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'feature_fraction': 0.5, 'bagging_freq': 1, 'bagging_fraction': 0.9}","{'depth': 6, 'l2_leaf_reg': 1, 'border_count': 254, 'verbose': False, 'random_strength': 0.6, 'task_type': 'CPU', 'n_estimators': 120, 'random_state': 42, 'eta': 0.05}"
accuracy,0.911504424778761,0.9203539823008849,0.9203539823008849,0.9292035398230089,0.9203539823008849
