iter	MultiClass
0	1.015529439
1	0.9515951734
2	0.8964550564
3	0.8568599035
4	0.8141707037
5	0.7749182008
6	0.7417886063
7	0.7157779567
8	0.6816696976
9	0.6541923874
10	0.6297290885
11	0.6106678051
12	0.5904922199
13	0.5711804149
14	0.5539390208
15	0.5385249689
16	0.5262655674
17	0.5142042537
18	0.5021265701
19	0.4909314751
20	0.4832222728
21	0.472531417
22	0.4632058013
23	0.4549169521
24	0.4475379408
25	0.4407698034
26	0.435517007
27	0.4287822212
28	0.4232633025229	0.4175754304330	0.4118711126331	0.4068627038332	0.4018524814
33	0.3977950964
34	0.3940881947
35	0.3909951631
36	0.3861890913
37	0.3830701388
38	0.38118675039	0.3776263735440	0.3756017046
41	0.3732413834
42	0.3697674045
43	0.3676882625
44	0.3660487394
45	0.3636058668
46	0.3618621534
47	0.360424616
48	0.3583315508
49	0.356228676
50	0.3544806788
51	0.3525830774
52	0.3507957424
53	0.3488256733
54	0.3471260125
55	0.3461400638
56	0.3446369815
57	0.3438455746
58	0.3423641329
59	0.3412231674
60	0.340660201
61	0.3393933765
62	0.3372631522
63	0.3358068811
64	0.33523865
65	0.3339691857
66	0.3325077695
67	0.3313824946
68	0.3304980084
69	0.3289284153
70	0.3277198605
71	0.3268335239
72	0.3262614916
73	0.3249903427
74	0.3237031593
75	0.3227876862
76	0.3214404072
77	0.3205159557
78	0.3197874744
79	0.3189658787
80	0.3183064732
81	0.3174909132
82	0.3165780227
83	0.3158398779
84	0.3151053751
85	0.3139867347
86	0.3132650356
87	0.3127540848
88	0.3122637908
89	0.3119081658
90	0.3113040966
91	0.3103913399
92	0.3096726824
93	0.3091248292
94	0.3083941133
95	0.3075855131
96	0.3067584734
97	0.3058664798
98	0.3052347768
99	0.3045852636
100	0.3037149445
101	0.3029005573
102	0.3021257642
103	0.3016425415
104	0.3009886096
105	0.3003261818
106	0.2998478044
107	0.2990978843
108	0.2983801436
109	0.2979162857
110	0.2972084292
111	0.2966327351
112	0.2960721189
113	0.2955961868
114	0.2951222475
115	0.294480192
116	0.2941038652
117	0.2931861569
118	0.2924220967
119	0.2917379669
120	0.2912837458
121	0.2905827717
122	0.2901367325
123	0.2896520748
124	0.2892752709
125	0.2887463767
126	0.2880843809
127	0.2874006895
128	0.2867401181
129	0.2863908476
130	0.2857780489
131	0.2850867461
132	0.2847065929
133	0.2840301699
134	0.2833532556
135	0.2827685997
136	0.2821957942
137	0.2817125705
138	0.28136139	0.139	0.28078140	0.140	0.28035141	0.141	0.27995142	0.142	0.27925143	0.143	0.27875144	0.2786091433
145	0.278137502
146	0.2776747219
147	0.2773004754
148	0.2767590799
149	0.2762730051
150	0.275738137
151	0.2752564485
152	0.2746124316
153	0.2742910388
154	0.2737964878
155	0.2732845624
156	0.2727706952
157	0.2725476665
158	0.2719691415
159	0.2715011996
160	0.271233488
161	0.2708433249
162	0.2704855801
163	0.270149677
164	0.2695652041
165	0.269193664
166	0.2687198589
167	0.2683765696
168	0.2679513255
169	0.267729902
170	0.2672434189
171	0.2668739795
172	0.2663269507
173	0.2660341575
174	0.2655957457
175	0.2651060797
176	0.2646208484
177	0.2642006639
178	0.2637411506
179	0.2634036196
180	0.2630591561
181	0.2626191758
182	0.2622916789
183	0.2619602329
184	0.2612891404
185	0.260945171
186	0.2604300387
187	0.2600391734
188	0.2596688981
189	0.2594649998
190	0.2589493648
191	0.2585043381
192	0.258285958
193	0.2579298765
194	0.2576520941
195	0.257321444
196	0.2569423808
197	0.2566014142
198	0.256382215
199	0.2559634487
200	0.2555666597
201	0.2551105263
202	0.2548006411
203	0.2543983702
204	0.2540368348
205	0.2537074394
206	0.2533409306
207	0.2529437671
208	0.2527173434
209	0.2523199856
210	0.2517963661
211	0.2514801388
212	0.2511398244
213	0.2508361859
214	0.2506095416
215	0.2503813079
216	0.250105158
217	0.2497453833
218	0.2495111316
219	0.2492007356
220	0.2488314514
221	0.2485647986
222	0.2481878068
223	0.223	0.25692224	0.224	0.25668225	0.225	0.25617226	0.226	0.25585227	0.227	0.25532228	0.228	0.254981637
229	0.2546851238
230	0.2545579084
231	0.254215289
232	0.2539593068
233	0.2537589986
234	0.2534345927
235	0.2530944905
236	0.2528974035
237	0.2526071007
238	0.2522175326
239	0.2519264996
240	0.2517552024
241	0.2514831811
242	0.2512080453
243	0.2510062786
244	0.2508394666
245	0.2507298112
246	0.2504220552
247	0.2502034095
248	0.2500468935
249	0.2497201645
250	0.249482171
251	0.2492313667
252	0.2488650984
253	0.2487009216
254	0.2484773306
255	0.2482944929
256	0.2480549019
257	0.2478133368
258	0.2476411106
259	0.2475000906
260	0.2472511361
261	0.2470319875
262	0.2467131714
263	0.246288681
264	0.246088018
265	0.245727412
266	0.2455352529
267	0.2452823551
268	0.2450828254
269	0.2447882338
270	0.2446088976
271	0.2444248532
272	0.2442924658
273	0.2441400308
274	0.243994544
275	0.2437074056
276	0.2434727684
277	0.243277072
